id,name,artist,album,release_date,year
48BBynvMm4jmI7hZ9hgPtU,One Side,Iyanya,One Side,2022-09-15,2022
67OkwMVfSXhRJjtFimefIK,Smoke,Ty Frankel,Rap Bangers,2019-09-10,2019
2slJOTEitHGLcUXcNJ9qh5,Njege/Sanse,Wakadinali,Victims of Madness,2020-11-28,2020
3ZEno9fORwMA1HPecdLi0R,HAPPY,NF,HOPE,2023-04-07,2023
3UZDl7g2r84o1b5marUjfK,My Stupid Heart,Walk off the Earth,My Stupid Heart,2023-01-27,2023
6Ozh9Ok6h4Oi1wUSLtBseN,BOP,DaBaby,KIRK,2019-09-27,2019
2D20D6gxMn8iJV4ij30DIV,Habits (Stay High) - The Chainsmokers Radio Edit,Tove Lo,Habits (Stay High) [The Chainsmokers Radio Edit],2014-03-03,2014
3z4CGd63tpUn9a6oQSG0CI,Location (feat. Burna Boy),Dave,PSYCHODRAMA,2019-03-08,2019
2U8NXPTXZWG2O0ye2sYRiH,I Love It (feat. Charli XCX),Icona Pop,THIS IS... ICONA POP,2013-08-27,2013
1XGmzt0PVuFgQYYnV2It7A,Payphone,Maroon 5,Overexposed Track By Track,2012-01-01,2012
035MzEbx4z2DxuRDymHXbv,Rodeo (Remix),Lah Pat,Rodeo (Remix),2023-02-24,2023
1kVYXfxTWSftIZtmYr6yH8,Coming In Hot,Andy Mineo,Coming In Hot,2018-07-20,2018
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,Harry's House,2022-05-20,2022
1OoPhcM78evXIxjmSzCnmf,Bloody Samaritan,Ayra Starr,19 & Dangerous,2021-08-06,2021
3GMdp6clyAh7wZWVYOtoS9,Amapiano,Asake,Amapiano,2023-05-23,2023
2gQPv5jvVPqU2a9HhMNO1v,Toxic,BoyWithUke,Toxic,2021-10-29,2021
5k38wzpLb15YgncyWdTZE4,Him & I (with Halsey),G-Eazy,The Beautiful & Damned,2017-12-15,2017
2ENexcMEMsYk0rVJigVD3i,Only Girl (In The World),Rihanna,Loud (Japan Version),2010-01-01,2010
1Ser4X0TKttOvo8bgdytTP,Come Get Her,Rae Sremmurd,SremmLife,2015-01-06,2015
78qd8dvwea0Gosb6Fe6j3k,Boss Bitch,Doja Cat,Boss Bitch,2020-01-23,2020
0EEnf9BCEnRCWsEz02rsU9,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),2017-01-26,2017
1pjvlYOMIg1NhGQbM6iwrY,Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,Peace Is The Mission : Extended,2015-11-27,2015
2mZLaQDdLplafm3Y5HMr51,Particula,Major Lazer,Know No Better,2017-06-01,2017
7BqHUALzNBTanL6OvsqmC1,Happier,Marshmello,Happier,2018-08-17,2018
2DGa7iaidT5s0qnINlwMjJ,The Spectre,Alan Walker,The Spectre,2017-09-15,2017
0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,Please Excuse Me for Being Antisocial,2019-12-06,2019
1fewSx2d5KIZ04wsooEBOz,Space Cadet (feat. Gunna),Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe),2018-11-06,2018
3MEYFivt6bilQ9q9mFWZ4g,Alone,Marshmello,Alone,2016-05-13,2016
7vGuf3Y35N4wmASOKLUVVU,Silence,Marshmello,Silence,2017-08-11,2017
0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),Sam Feldt,Magnets EP,2019-05-24,2019
2ogKhhoMClkFXek7ZgxAhN,Shameless,Camila Cabello,Romance,2019-12-06,2019
6jRq8gaZhMUyy5RclRPcAf,hot girl bummer,blackbear,everything means nothing,2020-08-21,2020
4n7jnSxVLd8QioibtTDBDq,On My Way,Alan Walker,On My Way,2019-03-21,2019
3BJe4B8zGnqEdQPMvfVjuS,Summertime Sadness,Lana Del Rey,Born To Die - The Paradise Edition,2012-01-01,2012
4rXLjWdF2ZZpXCVTfWcshS,fukumean,Gunna,a Gift & a Curse,2023-06-16,2023
5aIVCx5tnk0ntmdiinnYvw,Water,Tyla,Water,2023-07-28,2023
5ln5yQdUywVbf8HhFsOcd6,Walls Could Talk,Halsey,hopeless fountain kingdom (Deluxe),2017-06-02,2017
4laAKIq9ZxBCwf99rauPYb,Remember,Becky Hill,Remember,2021-06-18,2021
5rurggqwwudn9clMdcchxT,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02,2023
4e0FYxSROat25pH16zMTZI,Love Me,Lil Tecca,We Love You Tecca,2019-08-30,2019
51Fjme0JiitpyXKuyQiCDo,Lalala,Y2K,Lalala,2019-06-28,2019
2PWVxWymGDZKj5BZJB7dAR,GOATED. (feat. Denzel Curry),Armani White,GOATED.,2023-01-13,2023
4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior),24kGoldn,El Dorado,2021-03-26,2021
6M6Tk58pQvABy6ru66dY3d,No Money,Galantis,The Aviary,2017-09-15,2017
5X3T8jHNIJSXviiDmiBdz0,Enemy,Tommee Profitt,Cinematic Songs (Vol. 6),2019-08-23,2019
463CkQjx2Zk1yXoBuierM9,Levitating (feat. DaBaby),Dua Lipa,Levitating (feat. DaBaby),2020-10-01,2020
2etHQJxIbV0soyPhelVs9Y,Best Friend (feat. Doja Cat),Saweetie,Best Friend (feat. Doja Cat),2021-01-07,2021
1O8zCu3dLLPxkbGfIsbRgE,What It Is (Block Boy) (with Kodak Black),Doechii,What It Is (Block Boy) (with Kodak Black),2023-03-17,2023
46gfN72BxmLvACx6Pve4XU,Dull,Asake,Mr. Money With The Vibe,2022-09-07,2022
2sVcG5mresyV79qpYr3M1C,Paradise,Alan Walker,World Of Walker,2021-11-26,2021
4yzDNpEa75MSTypGg7tCAx,Princess Diana,Ice Spice,Like..?,2023-01-20,2023
0HqZX76SFLDz2aW8aiqi7G,Bones,Imagine Dragons,Bones,2022-03-11,2022
7xNCacksfUkYXsXuSW4vNF,PS5 (with TOMORROW X TOGETHER & Alan Walker),salem ilese,PS5 (with TOMORROW X TOGETHER & Alan Walker),2022-02-23,2022
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,lovely (with Khalid),2018-04-19,2018
2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,Doja Cat,Paint The Town Red,2023-08-04,2023
2AKS1HhpLu2rgkojECUm3V,Playboy,Fireboy DML,Playboy,2022-08-04,2022
0oXQppF7nPJG4ZM83OyKIG,Ayra Starr Rush Cover - Jipo,Jipo,Ayra Starr Rush Cover - Jipo,2022-11-18,2022
2kx5sQgmjYug0GiDh1a4sU,"Living Life, In The Night",Cheriimoya,"Living Life, In The Night",2018-10-13,2018
2krUWDNZUuYighZbiTM8FK,Heart of Courage (No Choir),Two Steps from Hell,Legend Anthology,2019-11-01,2019
6kl3BgBeYYAUtuxDi5aKQX,Royalty - Wiguez & Alltair Remix,Egzod,Royalty (Wiguez & Alltair Remix),2021-07-29,2021
27ZZdyTSQWI7Cug2d2PkqV,BILLIE EILISH.,Armani White,BILLIE EILISH.,2022-05-19,2022
0u2A4QNAMUyfQbgfVR3HvK,Cough (Odo),Kizz Daniel,Cough (Odo),2022-10-13,2022
